State and area,Year,Unemployeement,gdp per capita,Birth Rate
Missouri,2011,0.08,88747.09501,1.92
Montana,2011,0.063,83091.81716,1.96
Nebraska,2011,0.042,101699.6636,2.11
Nevada,2011,0.128,95746.57153,1.91
New Hampshire,2011,0.053,91427.2916,1.67
New Jersey,2011,0.093,110929.3142,1.88
New Mexico,2011,0.073,94444.4684,2
New York,2011,0.085,133883.8026,1.79
North Carolina,2011,0.101,94737.11543,1.86
North Dakota,2011,0.032,108216.5312,2.08
Ohio,2011,0.083,94186.50306,1.88
Oklahoma,2011,0.055,93354.19006,2.04
Oregon,2011,0.093,87139.79928,1.76
Pennsylvania,2011,0.077,99415.2868,1.8
Rhode Island,2011,0.11,91605.72076,1.6
South Carolina,2011,0.099,80443.91368,1.84
South Dakota,2011,0.043,96311.26911,2.25
Tennessee,2011,0.086,89114.51044,1.87
Texas,2011,0.075,107625.3868,2.07
Utah,2011,0.058,95850.62303,2.38
Vermont,2011,0.051,81382.46547,1.63
Virginia,2011,0.064,105097.4715,1.85
Washington,2011,0.081,112707.6179,1.89
West Virginia,2011,0.074,86961.99747,1.84
Wisconsin,2011,0.073,88694.67458,1.87
Wyoming,2011,0.06,130598.9412,1.98
Alabama,2011,0.087,85860.38508,1.84
Alaska,2011,0.075,151174.9633,2.28
Arizona,2011,0.088,87311.46195,2
Arkansas,2011,0.075,79126.15025,2
California,2011,0.113,111744.0343,1.9
Colorado,2011,0.084,98808.5181,1.85
Connecticut,2011,0.085,124543.1098,1.71
Delaware,2011,0.071,141011.1138,1.9
District of Columbia,2011,0.098,314595.5496,1.64
Florida,2011,0.093,83103.87644,1.8
Georgia,2011,0.096,92630.83997,1.93
Hawaii,2011,0.067,107607.1973,2.11
Idaho,2011,0.077,75662.85664,2.15
Illinois,2011,0.095,107990.2996,1.84
Indiana,2011,0.086,93414.277,1.95
Iowa,2011,0.053,91457.31538,1.97
Kansas,2011,0.06,93269.62977,2.09
Kentucky,2011,0.087,85548.46919,1.94
Louisiana,2011,0.072,112610.0877,1.91
Maine,2011,0.073,76829.57487,1.67
Maryland,2011,0.07,106965.906,1.85
Massachusetts,2011,0.068,124215.8507,1.67
Michigan,2011,0.094,88547.38408,1.84
Minnesota,2011,0.059,99559.51376,1.95
Mississippi,2011,0.093,73445.20562,1.94
Missouri,2011,0.078,88907.5253,1.92
Montana,2011,0.061,83063.96265,1.96
Nebraska,2011,0.041,101674.1627,2.11
Nevada,2011,0.126,95793.16845,1.91
New Hampshire,2011,0.053,91433.84965,1.67
New Jersey,2011,0.093,110949.0506,1.88
New Mexico,2011,0.072,94450.57872,2
New York,2011,0.086,133813.9343,1.79
North Carolina,2011,0.099,94666.56786,1.86
North Dakota,2011,0.031,108040.0818,2.08
Ohio,2011,0.08,94295.11129,1.88
Oklahoma,2011,0.054,93207.08258,2.04
Oregon,2011,0.092,87246.12019,1.76
Pennsylvania,2011,0.076,99377.9616,1.8
Rhode Island,2011,0.109,91702.53668,1.6
South Carolina,2011,0.097,80486.93528,1.84
South Dakota,2011,0.042,96302.22023,2.25
Tennessee,2011,0.084,89264.5574,1.87
Texas,2011,0.073,107627.5946,2.07
Utah,2011,0.054,95948.48764,2.38
Vermont,2011,0.05,81497.22196,1.63
Virginia,2011,0.063,105129.0297,1.85
Washington,2011,0.08,112529.4822,1.89
West Virginia,2011,0.072,87003.18157,1.84
Wisconsin,2011,0.071,88760.26648,1.87
Wyoming,2011,0.059,130566.3537,1.98
Alabama,2012,0.085,86819.81879,1.81
Alaska,2012,0.075,159593.6473,2.19
Arizona,2012,0.087,89050.41433,2
Arkansas,2012,0.074,79631.4374,1.97
California,2012,0.112,114489.7043,1.89
Colorado,2012,0.084,100762.4988,1.83
Connecticut,2012,0.084,125976.8212,1.66
Delaware,2012,0.07,139751.1783,1.85
District of Columbia,2012,0.096,315226.6174,1.61
Florida,2012,0.092,83785.14791,1.77
Georgia,2012,0.095,93953.55542,1.88
