Country,State,MAE,MAPE,pred2023,data2021,pred2021
Philippines,Nevada,482.9957953,0.551995195,3338,[875],1357
Philippines,New Hampshire,1.709477517,0.033519167,102,[51],49
Philippines,New Jersey,493.8063612,0.587165709,3128,[841],1334
Philippines,New Mexico,110.0713116,0.909680261,386,[121],231
Philippines,New York,404.3504566,0.246856201,2495,[1638],2042
Philippines,North Carolina,38.56376888,0.043330077,1299,[890],851
Philippines,North Dakota,187.5606088,1.431760372,80,[131],318
Philippines,Ohio,169.4669472,0.267298024,683,[634],803
Philippines,Oklahoma,51.24375999,0.353405241,860,[145],93
Philippines,Oregon,20.95922083,0.076773703,308,[273],252
Philippines,Pennsylvania,175.3181731,0.468765169,270,[374],549
Philippines,Rhode Island,13.65101357,0.525038983,50,[26],39
Philippines,South Carolina,55.04225809,0.28226799,2821,[195],250
Philippines,South Dakota,33.88736024,0.968210293,44,[35],68
Philippines,Tennessee,317.9031787,0.418844768,364,[759],441
Philippines,Texas,947.7896153,0.564160485,39225,[1680],2627
Philippines,Utah,63.06784798,0.40953148,288,[154],217
Philippines,Vermont,11.05201969,0.42507768,2,[26],14
Philippines,Virginia,295.353712,0.455792765,8809,[648],943
Philippines,Washington,611.9312194,0.830300162,1753,[737],1348
Philippines,West Virginia,35.20831514,0.510265437,163,[69],104
Philippines,Wisconsin,65.71331451,0.278446248,188,[236],170
Philippines,Wyoming,5.435604646,0.201318691,13,[27],21
